Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Policy/Curiosity Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Policy/Curiosity Reward,Is Training
70000,1.4203507,-0.32291725,0.122768156,399.0,-499.3333333333333,-499.3333333333333,0.0,1.0
80000,1.4204092,-0.29748622,0.12406246,397.0,-315.6,-315.6,0.04716312047443352,1.0
90000,1.4213617,-0.39802805,0.1115034,316.9375,-392.59375,-392.59375,0.3845534239517292,1.0
100000,1.424279,-0.45878023,0.10653655,398.5833333333333,-183.91666666666666,-183.91666666666666,0.4029181367950514,1.0
110000,1.4257112,-0.7502129,0.11849951,400.9230769230769,-225.03846153846155,-225.03846153846155,0.27775459687780735,1.0
120000,1.4256575,-0.6843816,0.1084211,327.7931034482759,-447.37931034482756,-447.37931034482756,0.24776375540311385,1.0
130000,1.4270616,-0.7864685,0.10228225,380.18518518518516,-241.85185185185185,-241.85185185185185,0.31513844404684344,1.0
140000,1.4285501,-1.1017069,0.082595505,344.62068965517244,-392.2758620689655,-392.2758620689655,0.24329002050618673,1.0
150000,1.4282337,-0.6270521,0.079739936,296.94117647058823,-456.88235294117646,-456.88235294117646,0.1783847511276904,1.0
160000,1.4281124,-0.36281288,0.09684852,380.4230769230769,-390.34615384615387,-390.34615384615387,0.21615096731021857,1.0
170000,1.4284608,-0.35150185,0.097497255,344.55172413793105,-378.37931034482756,-378.37931034482756,0.19616663696471168,1.0
180000,1.4293649,0.12432118,0.112241834,454.5238095238095,-34.285714285714285,-34.285714285714285,0.26381889854313895,1.0
190000,1.4295523,0.5951552,0.1101602,397.11538461538464,-237.30769230769232,-237.30769230769232,0.16218192272320336,1.0
200000,1.430137,0.21709304,0.113338746,350.3103448275862,-431.42857142857144,-431.42857142857144,0.16797270031254033,1.0
210000,1.430636,0.9623279,0.11236039,343.3103448275862,-383.1666666666667,-383.1666666666667,0.124082686084148,1.0
220000,1.4311973,0.8569945,0.13034205,377.2,-337.4,-337.4,0.17219015964772552,1.0
230000,1.4313412,1.4262537,0.13368392,413.08,-66.92,-66.92,0.14594175242469645,1.0
240000,1.4324026,1.6370646,0.13167553,444.1363636363636,-149.72727272727272,-149.72727272727272,0.16141464965568791,1.0
250000,1.4328655,2.1316936,0.13865775,372.962962962963,-292.037037037037,-292.037037037037,0.13012755380731067,1.0
260000,1.43234,2.8948872,0.12831204,354.17857142857144,-344.39285714285717,-344.39285714285717,0.11016098123686138,1.0
270000,1.4308412,2.9170952,0.09662676,397.34615384615387,-287.2692307692308,-287.2692307692308,0.12507488512066908,1.0
280000,1.4298365,2.4805527,0.1170139,335.41379310344826,-490.62068965517244,-490.62068965517244,0.12612234989325677,1.0
290000,1.4289036,3.1951785,0.09557198,426.5,-204.91304347826087,-204.91304347826087,0.12786222401368635,1.0
300000,1.4284277,3.165407,0.09138048,296.71875,-508.2121212121212,-508.2121212121212,0.07482445640981138,1.0
310000,1.4285988,3.2498207,0.09440906,343.17241379310343,-395.2758620689655,-395.2758620689655,0.08870731081145189,1.0
320000,1.4295198,3.5445309,0.08830162,305.5882352941176,-528.8235294117648,-528.8235294117648,0.0902377519318286,1.0
330000,1.4303674,4.3359756,0.07881491,331.43333333333334,-453.56666666666666,-453.56666666666666,0.08433752140845172,1.0
340000,1.4305016,4.5445867,0.06817694,383.65384615384613,-272.88461538461536,-272.88461538461536,0.08989249930331986,1.0
350000,1.4299436,5.3558636,0.056893166,413.9166666666667,-135.875,-135.875,0.08663317174189918,1.0
360000,1.4292948,4.7467747,0.083000526,448.54545454545456,-126.45454545454545,-126.45454545454545,0.10078001487140269,1.0
370000,1.429488,5.523613,0.064064406,403.7916666666667,-319.3333333333333,-319.3333333333333,0.09209342269908423,1.0
380000,1.4298401,6.897495,0.09034974,336.64516129032256,-386.741935483871,-386.741935483871,0.06170047316446735,1.0
390000,1.4299763,6.553506,0.089823656,458.6190476190476,-90.42857142857143,-90.42857142857143,0.07840432352774467,1.0
400000,1.4297295,6.3874354,0.08667138,358.37931034482756,-238.71428571428572,-238.71428571428572,0.0687596684698032,1.0
410000,1.4294934,7.5402513,0.115976915,430.09090909090907,-100.91304347826087,-100.91304347826087,0.06693787050101926,1.0
420000,1.4296821,6.9878855,0.120126754,369.6666666666667,-351.3333333333333,-351.3333333333333,0.06388925704366691,1.0
430000,1.429845,8.212414,0.11156885,379.15384615384613,-208.25925925925927,-208.25925925925927,0.04676816520643317,1.0
440000,1.4299573,7.3028054,0.1114626,309.65625,-510.5,-510.5,0.05210577175927256,1.0
450000,1.4298725,7.53828,0.13697046,342.7241379310345,-367.7931034482759,-367.7931034482759,0.054894283702667274,1.0
460000,1.4297441,8.021885,0.14572017,363.2962962962963,-337.81481481481484,-337.81481481481484,0.05546465317423065,1.0
470000,1.4297915,7.6099896,0.1535726,367.67857142857144,-302.32142857142856,-302.32142857142856,0.0688256477179883,1.0
480000,1.4298775,9.119032,0.17141858,337.39285714285717,-371.0,-371.0,0.04530180745587131,1.0
490000,1.4299402,9.463027,0.18276176,395.34615384615387,-229.07692307692307,-229.07692307692307,0.05103067132516186,1.0
500000,1.429948,9.20681,0.19346997,371.5925925925926,-329.51851851851853,-329.51851851851853,0.039457305429634826,1.0
